Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
CAN,6.801834009,7.018389975,6.924264129,6.919367355,7.084371979,6.987084256,7.246351815,7.36599393,7.183897114,7.162816094,7.133794987,7.064110582,6.80254649,6.918678063,7.037658105,7.418836782,7.276378862,..,..,..
FRA,4.103394225,3.692659622,3.675238774,3.602287724,3.733566475,3.790339105,3.85049176,3.844337281,3.563187296,3.950970415,4.537404257,4.262616285,4.232013118,4.418843472,4.510255652,4.450140434,4.30896589,3.844672962,3.856570657,3.794199324
GER,4.482311315,4.48777525,4.770459835,5.245717056,5.692710158,5.51888283,5.260327396,4.759701579,4.300664802,5.114842254,4.997085464,4.801995286,4.802376511,4.616827598,4.457323822,4.395867236,4.186188759,4.032777977,3.916164007,3.862936245
ITA,5.016567398,5.107884732,4.774731354,5.110211179,4.962172583,5.17710613,5.203474619,5.599010786,5.413853424,5.11094603,5.221678806,5.277144293,5.320915192,5.562707856,5.809250637,5.622818872,5.31877182,5.015535412,4.876828239,4.821883207
JPN,4.859753097,5.383377254,5.838865039,6.067622185,5.941137726,5.934014381,5.756059779,5.708072284,4.87188869,4.95718724,4.831386704,4.726378283,4.558118941,4.610010622,4.472796209,4.393092032,4.186861479,4.153904217,4.180133505,..
UK,5.093056302,5.042251404,5.244282982,5.793553904,6.514084952,7.436590954,7.647507699,8.514334489,7.675370597,9.093025451,8.221434633,8.04107136,7.694419012,7.720318955,7.601062289,6.964503532,7.221278036,7.216080108,7.024326277,6.556023187
USA,7.39891013,7.736495976,7.609712479,7.519138974,7.268627822,7.607469422,7.634664338,7.260195339,6.018328567,6.785134428,6.803341959,6.709523055,7.314162717,6.940554366,7.407060994,7.55085697,7.727779874,7.641201146,..,..
